核准編號,行政區,里別,臺北市核准地點,團體名稱,電話,經度,緯度
1,大同區,永樂,民樂街31號對面,台北市自閉症家長協會,(02)25953937,121.51097,25.0545
2,大安區,德安,四維路52巷10號旁,台北市自閉症家長協會,(02)25953937,121.54708,25.03507
3,松山區,松基,興安街與民生東路3段130巷口（公佈欄旁）,台北市自閉症家長協會,(02)25953937,121.54653,25.0561
4,中正區,瑩雪,泉州街127號,台北市自閉症家長協會,(02)25953937,121.52197,25.0965
5,大安區,龍坡,和平東路1段溫州街口,台北市自閉症家長協會,(02)25953937,121.53342,25.02609
6,信義區,永吉,中坡北路與松隆路旁（公園）人行道,台北市自閉症家長協會,(02)25953937,121.5796,25.04813
7,中正區,南福,寧波西街60號前,台北市自閉症家長協會,(02)25953937,121.5173,25.03051
8,大安區,群英,復興南路2段151巷30弄與171巷交叉口,台北市自閉症家長協會,(02)25953937,121.54535,25.02803
9,大安區,群英,復興南路2段193巷16弄口,台北市自閉症家長協會,(02)25953937,121.54446,25.02648
10,中山區,龍洲,興安街103號前人行道,台北市自閉症家長協會,(02)25953937,121.5437,25.05609
11,中山區,松基,長春路339巷口,台北市自閉症家長協會,(02)25953937,121.54483,25.05459
12,中山區,龍洲,民生東路3段與遼寧街口變電箱旁,台北市自閉症家長協會,(02)25953937,121.54223,25.05764
13,中正區,龍光,和平西路2段55號旁（建國中學圍牆邊）,台北市自閉症家長協會,(02)25953937,121.5121,25.02917
14,北投區,中心,中和街47號對面,台北市自閉症家長協會,(02)25953937,121.50247,25.13841
15,大安區,敦煌,仁愛路4段300巷35弄2號對面,台北市自閉症家長協會,(02)25953937,121.55465,25.03539
16,大安區,德安,大安路1段193-2號旁與四維路44巷口,台北市自閉症家長協會,(02)25953937,121.54612,25.03558
17,信義區,松友,信義路6段76巷2弄47號對面,台北市自閉症家長協會,(02)25953937,121.55465,25.03539
18,松山區,新東,撫遠街與新東街30巷口,台北市自閉症家長協會,(02)25953937,121.54612,25.03558
